name,score
高通骁龙855,358603
苹果A12Bionic,332569
麒麟980,314254
高通骁龙845,314216
麒麟980,308856
苹果A11仿生,217397
麒麟970,209425
苹果A11仿生,203279
高通骁龙835,188187
高通骁龙710,174383
高通骁龙835,174331
苹果A10Fusion处理器,172644
高通骁龙821(MSM8996Pro),163199
高通骁龙670,155394
海思麒麟960,150944
高通骁龙820(MSM8996),148792
高通骁龙660,144485
联发科HelioX30(MT6799),144276
麒麟710,141091
麒麟960,140130
HelioP60,139264
高通骁龙636,115977
三星Exynos8890,111862
高通骁龙652(MSM8976),111727
联发科HelioX25(MT6797T),100650
海思麒麟955,97964
高通骁龙653(MSM8976Pro),97223
联发科HelioX20(MT6797),91851
海思麒麟950,89955
高通骁龙630,89739
联发科HelioX20(MT6797M),88043
联发科HelioP35,86803
联发科HelioX27,85215
联发科HelioP20,85215
高通骁龙810(MSM8994),83199
联发科MTK6763T,79468
高通骁龙632,79334
高通骁龙650(MSM8956),78265
三星Exynos7420,75698
骁龙450,73804
联发科HelioP30,73783
高通骁龙805(APQ8084),70494
高通骁龙626(MSM8953Pro),67757
骁龙450,67319
高通骁龙625(MSM8953),66505
高通骁龙808(MSM8992),63262
联发科HelioP25,63008
高通骁龙617(MSM8952),61856
麒麟659,60909
麒麟655,58393
联发科MT6795T,55635
联发科HelioX10(MT6795T-2.2GHz),53784
联发科HelioP10(MT6755),53340
麒麟650,52740
联发科MT6752,51849
联发科MT6795(2.0GHz),50557
联发科MT6795M,49681
联发科HelioP10(MT6755M),49516
高通骁龙435(MSM8940),48588
麒麟658,47963
海思麒麟935,46693
联发科MT6750T,45220
高通骁龙430(MSM8937),44172
三星Exynos7580,42859
联发科MT6753T,42690
联发科MT6795T,41735
联发科MT6750,41664
高通骁龙801(MSM8974v3),41116
联发科MT6737T,40863
联发科MT6753(1.7GHz),39733
联发科MT6753,39321
联发科MT8783,38775
高通骁龙616(MSM8939),38457
联发科MT6753(1.3GHz),38084
高通骁龙615(MSM8939),37285
高通骁龙427（MSM8920）,37161
高通骁龙425,36621
联发科MT6737,35116
联发科MT6735(1.3GHz),34151
高通骁龙415(MSM8929),32482
联发科MT6735P,28377
高通骁龙410(MSM8916),27455
三星Exynos3475,20848
